"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"MPH"|0.0|150.0|50,"Distance"|"Miles"|0.0|0.0|50,"Altitude"|"Feet"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50,"LapCount"|""|0|0|50,"LapTime"|"Min"|0.0|0.0|50,"Sector"|""|0|0|50,"SectorTime"|"Min"|0.0|0.0|50,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|50,"CurrentLap"|""|0|0|50
692413,1454563549475,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692436,1454563549498,,-0.16,-0.11,1.01,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692456,1454563549518,,-0.16,-0.11,1.01,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692476,1454563549538,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692496,1454563549558,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692516,1454563549578,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,0.0,0.0,0
692540,1454563549602,,-0.16,-0.11,1.02,-0.0,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692560,1454563549622,,-0.16,-0.11,1.02,-0.0,1.3,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692580,1454563549642,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692600,1454563549662,,-0.16,-0.11,1.02,-0.1,1.3,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692624,1454563549686,,-0.16,-0.11,1.02,-0.1,1.3,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692644,1454563549706,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692664,1454563549726,,-0.16,-0.11,1.02,-0.1,1.3,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692684,1454563549746,,-0.16,-0.11,1.02,-0.1,1.3,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692704,1454563549766,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692728,1454563549790,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,0.0,0.0,0
692748,1454563549810,,-0.16,-0.11,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692768,1454563549830,,-0.16,-0.1,1.02,-0.1,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692788,1454563549850,,-0.16,-0.11,1.02,-0.0,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692812,1454563549874,,-0.16,-0.11,1.02,-0.0,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
692832,1454563549894,,-0.16,-0.11,1.02,-0.0,1.4,-0.3,37.47855,-122.203827,0.0,0.0,28.6,9,3,1.6,0,0.0,-1,0.0,,0.0,0
